"clinicId", "clinicName"
10016, Scott & Jonah Mds
10019, First Physicians
10021, Trophy Club Pediatrics, PA
10025, Seven Hills Medical Group
10035, Margarita M Vendrell MD
10037, Trinity Medical Clinic
10041, Ithaca Primary Care
10044, Corry Memorial Hospital
10045, Valerie A. Hiveley Blatz, GNP
10046, Dr. Adnan Yousuf
10047, Internal Medicine of Wakefield
10048, Spine Institute Of Idaho
10051, Kids Heart Clinic
10052, Integrative Medical Group
10054, Northshore Eye Care Inc
10055, Peak Neurology and Sleep Medicine
10056, Atlanta Orthopaedic Institute
10058, Liza Presser Belkin MD
10064, Steven J Steele MD, FACS, PA
10068, Abernathy Clinic
10069, Bradon Kimura MD Inc.
10075, Henal J Shah MD P.C.
10076, The Musello Partnership LLC
10077, Fish River Rural Health
10081, Neurology Specialists of the Treasu
10088, George Condax Retina Spec PPLC
10095, New Jersey Foot and Ankle Associates
10096, Total Patient Care of Ocala
10097, Jose J Monsivais MD PA
10098, WESTERN DUPAGE OBSTETRICS AND GYNEC
10099, Hamdard Health Alliance
10109, METRO XTRACARE, P.C.
10112, Twin County Physicians Practices
10114, Ascension Medical Group
10117, Starfish Pediatrics
10127, Heartland Medical Associates LLC
10128, ESFANDIAR ESFANDIARIFARD M.D. INC
10132, Allied Healthcare
10134, MCJR, LLC
10136, San Antonio Spine Center
10138, Andrew Adelson MD
10141, Unique Healthcare Options
10142, Winston-Salem Pediatrics
10147, Rony Kako, M.D.
10148, Center for Women's Healthcare
10154, MASONBORO URGENT CARE, P.C.
10155, The Glaucoma Institute
10157, Cottonport, Simmesport, Mansura, Montgomery & Elizabeth Family Clinic
10158, Health Express
10159, Bernard Orewa, MD, PC
10160, Trinity Family Health Care, LLC
10163, Cuyahoga Falls Foot Care, Inc.
10170, Women's Health Connecticut and Women's Health of Central Massachusetts
10185, Barrett Clinic, P.C.
10187, Brain and Spine Neurosurgical Institute
10193, Women's Health Specialists of Advantia
10194, Sheng H Chang MD Inc
10195, BALLINGER HOSPITAL CLINIC
10205, Dermatologic Centers of America
10224, Dixie Melillo, M.D., F.A.C.S
10225, Westchester Women's Medical Healthcare
10227, Natividad Medical Group Prunedale - formerly Family Medical Care
10228, Louisiana Foot and Ankle Specialists
10236, Verghese Orthopedics
10239, Market Street Medical
10241, Diabetes and Hormone Center
10252, Gynecologic Cancer Care
10253, Dr. Jesse Sadikman MD
10270, Robert E Wray DO
10271, Serrano Family Practice
10272, United Urgent Care & Family Medicine
10287, Health First Medical Center
10288, Advanced Women's OBGYN Health Care
10294, Heart of the Valley Healthcare
10299, Pulmonary & Sleep Associates
10300, Glowacki,MD
10301, University Allergy & Asthma Center
10306, Carafem
10309, Providence Family Medicine Clinic
10316, Charleston Therapeutic Yoga
10352, Alps Road Family Foot and Ankle
10357, WellBeingMD LTD.
10363, Nidraveda
10368, Trident Health Center
10369, Southern Pediatric Clinic, LLC
10370, Rose Urgent Care & Family Practice
10371, Turner Care LLC
10378, Sidney T. Robin, M.D.
10381, BOLIVAR PHYSICIAN PRACTICES
10383, Cookeville Regional Medical Group
10387, Transitions Home Medical Group LLC
10393, ASSOCIATED FOOT SPECIALISTS, P.C.
10394, Newport Beach Women's Wellness Center
10395, Cactus Health Services
10406, First Stop Urgent Care
10407, McBee Surgical Clinic
10411, Internal Medicine Associates of Pon
10412, Evangeline Family Healthcare
10414, Community Advanced Practice Nurses
10417, Mountain Ear, Nose & Throat Associates
10421, A Woman's Place in Fayetteville
10435, Achilles Foot Care
10436, Fort Worth Diagnostic Clinic
10441, Sky Sports Medicine and Epic Medical
10442, PROPT
10444, Foot & Ankle Wellness Center
10445, Finch Family Medical Care, PLLC
10448, Arkansas Urology, P.A.
10458, Down East Diabetology, PA
10462, Sunset ID Care PA
10463, Elliot M Levine MD
10469, Richard L Fox DO
10474, United Physicians Care Management
10476, The Joint Preservation and Limb Reconstruction Center
10483, Quality Pediatrics LLC
10488, Dr. Manuel Lopez
10489, Seaport Medical Center
10491, Dr. David Opawumi
10492, Southern Arizona Midwives
10495, On-Site Diagnostic Services of NWO,
10496, Sunrise Pediatrics
10497, Stepping Stone Pediatrics, LLC
10499, LA Integrative Gastroenterology
10501, Kids Fitness For Life
10502, Fern L Grapin MD
10504, KELLY FAMILY MEDICINE, PA
10506, Cardiology Associates of Central VA
10509, Kingsway Medical Center PLLC
10512, Hypertension & Kidney Care
10513, Willow Midwives
10516, REPLY FERTILITY
10517, Jackson Orthopedic & Spine Center
10520, TRU OBGYN AND BIRTH CENTER
10523, Dr. Jan L. Patterson
10524, Laambda Healthcare Inc.
10526, Wright Surgical Center
10530, Olde Towne Urgent Care, LLC
10531, Great Lakes Orthopedics & Sports Medicine
10535, Eyecare MPLS
10536, Somerset OB/GYN Associates
10537, McManus & Associates, Internal Medicine
10541, Dr Elene Brandt
10545, Dr. Jack Matheny
10546, Stephen L Scranton MD
10547, Presken Family Care
10548, Estrellitas Pediatrics Christy Stewart APRN CNP PLLC
10550, Eye Associates Of Plantation
10553, Mountain State Eye Associates
10555, Ernest S Sears MD
10558, Family C.A.R.E. services
10561, Allergy and Asthma of Central Maryland
10562, Vascular Surgery Specialist PA
10563, EAST SIDE CARDIOLOGY, PLLC
10564, Harrington Family Health Center
10565, Richard D Semeran MD
10566, Mauro Gasparini, M.D., P.C.
10567, AMESUR EYE ASSOCIATES
10568, Ridgeview Internal Medicine Group
10573, James W. Endicott, MD
10574, TriCare Medical Group, PC
10577, Munther S Tabet MD PA
10578, David Ullman DPM
10579, Oculofacial Plastic Surgery of WNY, P. Emmett Hurley, MD
10582, SAN JOSE NEPHROLOGY MEDICAL PRACTICE
10586, Taylor Integrated Health
10587, BALANCE AND NEUROLOGIC CENTER OF THE ROCKIES
10590, Emerald Waters Medical Clinic
10592, Coyle Institute of Female Pelvic Medicine
10594, Physicians Medical Walk-In Care
10599, Polyclinique
10600, Cornerstone Geriatric Care
10605, Anderson Urology Associates
10606, VyncaCare
10610, Kidcare Louisiana LLC
10611, Pradip K. Dhar, MD
10612, K Primary Care and Medical Nutrition Center
10613, Professional Association for Pediatrics
10619, Apple Hill Podiatry Associates
10620, Big Horn Basin Bone & Joint
10627, Greater Cincinnati Internal Medicine
10631, Dr. Neil L Horsley, DPM
10651, Metro Orthopedics & Sports Therapy
10664, Tanya Wilke Family Medicine
10667, Tennova Heart
10670, Northeast Alabama Family Foot Care,
10671, Revitalized Natural Health Center, LLC
10674, Tri-Valley Medical Group
10676, Sereno Sante
10678, Boston Maternal Fetal Medicine
10679, Better Family Care, LLC
10687, Oakstone Health Center
10688, Mapleton Hill Orthopaedics
10691, Kidney Health Group
10692, Lassen Medical Clinic
10693, Clincare International Center- Primary Care
10695, Select Orthopedic Specialists
10719, Colonial Orthopaedics
10724, Boulder Institute for Sports Med
10725, Valentin Tureanu MD
10729, Beth Israel Lahey Health Primary Care
10731, Home Physicians Medical Group, Inc.
10733, Great Falls Clinic LLP
10735, The Orthopedic Clinic
10754, Darrell L Bowyer MD
10771, Worthington Foot & Ankle
10777, Ascension Saint Agnes Health
10779, Better Foot Care, LLC
